id,display_name,category,texture_path,icon_path,source_sheet,source_rect,width,height,footprint,anchor,allowed_surfaces,blocked_surfaces,collision,walkable,can_rotate,review_flags
gb_flowerbed_02_001,?? 001,flowerbeds,res://assets/garden_builder/textures/flowerbeds/gb_flowerbed_02_001.png,res://assets/garden_builder/icons/gb_flowerbed_02_001.png,02.png,"[46, 28, 93, 104]",93,104,"[2, 2]",bottom_center,"[""grass"", ""dirt"", ""stone_path""]","[""water""]",True,False,True,[]
gb_flowerbed_02_002,?? 002,flowerbeds,res://assets/garden_builder/textures/flowerbeds/gb_flowerbed_02_002.png,res://assets/garden_builder/icons/gb_flowerbed_02_002.png,02.png,"[181, 28, 96, 104]",96,104,"[2, 2]",bottom_center,"[""grass"", ""dirt"", ""stone_path""]","[""water""]",True,False,True,[]
gb_flowerbed_02_003,?? 003,flowerbeds,res://assets/garden_builder/textures/flowerbeds/gb_flowerbed_02_003.png,res://assets/garden_builder/icons/gb_flowerbed_02_003.png,02.png,"[319, 28, 101, 104]",101,104,"[2, 2]",bottom_center,"[""grass"", ""dirt"", ""stone_path""]","[""water""]",True,False,True,[]
gb_flowerbed_02_004,?? 004,flowerbeds,res://assets/garden_builder/textures/flowerbeds/gb_flowerbed_02_004.png,res://assets/garden_builder/icons/gb_flowerbed_02_004.png,02.png,"[458, 27, 105, 105]",105,105,"[2, 2]",bottom_center,"[""grass"", ""dirt"", ""stone_path""]","[""water""]",True,False,True,[]
gb_flowerbed_02_005,?? 005,flowerbeds,res://assets/garden_builder/textures/flowerbeds/gb_flowerbed_02_005.png,res://assets/garden_builder/icons/gb_flowerbed_02_005.png,02.png,"[600, 28, 104, 104]",104,104,"[2, 2]",bottom_center,"[""grass"", ""dirt"", ""stone_path""]","[""water""]",True,False,True,[]
gb_flowerbed_02_006,?? 006,flowerbeds,res://assets/garden_builder/textures/flowerbeds/gb_flowerbed_02_006.png,res://assets/garden_builder/icons/gb_flowerbed_02_006.png,02.png,"[741, 28, 106, 104]",106,104,"[2, 2]",bottom_center,"[""grass"", ""dirt"", ""stone_path""]","[""water""]",True,False,True,[]
gb_flowerbed_02_007,?? 007,flowerbeds,res://assets/garden_builder/textures/flowerbeds/gb_flowerbed_02_007.png,res://assets/garden_builder/icons/gb_flowerbed_02_007.png,02.png,"[883, 28, 107, 104]",107,104,"[2, 2]",bottom_center,"[""grass"", ""dirt"", ""stone_path""]","[""water""]",True,False,True,[]
gb_flowerbed_02_008,?? 008,flowerbeds,res://assets/garden_builder/textures/flowerbeds/gb_flowerbed_02_008.png,res://assets/garden_builder/icons/gb_flowerbed_02_008.png,02.png,"[43, 146, 107, 81]",107,81,"[2, 2]",bottom_center,"[""grass"", ""dirt"", ""stone_path""]","[""water""]",True,False,True,[]
gb_flowerbed_02_009,?? 009,flowerbeds,res://assets/garden_builder/textures/flowerbeds/gb_flowerbed_02_009.png,res://assets/garden_builder/icons/gb_flowerbed_02_009.png,02.png,"[181, 146, 109, 81]",109,81,"[2, 2]",bottom_center,"[""grass"", ""dirt"", ""stone_path""]","[""water""]",True,False,True,[]
gb_flowerbed_02_010,?? 010,flowerbeds,res://assets/garden_builder/textures/flowerbeds/gb_flowerbed_02_010.png,res://assets/garden_builder/icons/gb_flowerbed_02_010.png,02.png,"[319, 146, 143, 81]",143,81,"[3, 2]",bottom_center,"[""grass"", ""dirt"", ""stone_path""]","[""water""]",True,False,True,[]
